Timestamp,Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
1772819824.968403,-9,-4,-12,0,-1,-2,-2,0,1,-1,-1,2,4,1,0,1,1,1,1,3,4,1,2,4,2,2,4,2,-3,-3,0,1
1772819824.9703562,-7,-3,-9,-1,-1,1,-1,1,1,1,1,3,4,1,0,1,0,0,1,3,3,1,0,5,-2,-2,0,2,2,-3,-2,0
1772819824.9723094,-6,-1,-6,-2,-1,3,0,3,2,3,3,3,3,1,1,1,0,-1,0,3,2,0,-2,5,-7,-5,-4,3,6,-4,-4,-1
1772819824.9742625,-4,0,-4,-3,-1,5,1,4,2,5,5,4,3,1,1,1,-1,-2,-1,2,1,0,-3,6,-10,-8,-7,3,9,-4,-5,-2
1772819824.9762156,-3,1,-2,-3,-1,6,2,4,2,7,7,4,2,1,2,1,-1,-3,-2,2,0,-1,-5,7,-13,-10,-9,4,12,-4,-6,-2
1772819824.9781687,-2,2,-1,-4,-1,7,2,5,2,7,8,4,2,1,2,0,-2,-4,-2,1,-1,-1,-5,9,-15,-11,-11,5,15,-4,-6,-3
1772819824.9801219,-2,3,0,-4,-1,7,3,5,2,8,9,5,1,1,2,-1,-4,-5,-3,0,-2,-1,-6,10,-15,-12,-11,6,16,-3,-6,-3
1772819824.982075,-2,3,1,-4,-1,6,3,4,2,7,10,4,1,1,2,-1,-5,-7,-4,0,-2,-1,-6,12,-15,-12,-11,7,17,-3,-5,-3
1772819824.984028,-2,3,1,-3,0,5,3,4,2,6,10,4,0,2,1,-2,-7,-8,-5,-1,-3,-1,-5,13,-14,-11,-10,9,18,-2,-4,-3
1772819824.9859812,-2,3,0,-3,0,4,3,3,2,5,10,4,0,2,1,-3,-8,-10,-6,-2,-3,-1,-5,15,-12,-10,-9,10,18,-1,-3,-2
1772819824.9879344,-2,3,-1,-2,1,2,3,2,2,4,9,4,0,3,1,-3,-10,-11,-7,-3,-3,-1,-4,16,-10,-9,-7,10,18,-1,-2,-2
1772819824.9898875,-2,2,-1,-1,1,0,3,1,2,3,8,4,0,3,0,-4,-11,-12,-7,-4,-3,-1,-4,17,-8,-8,-5,11,18,-1,-1,-1
1772819824.9918406,-2,2,-2,0,1,-2,3,1,2,1,7,4,1,4,0,-4,-12,-13,-8,-5,-4,-1,-3,18,-6,-7,-3,11,17,-1,-1,0
1772819824.9937937,-2,2,-3,0,1,-4,3,0,2,0,6,4,2,5,0,-4,-12,-13,-8,-5,-4,0,-3,18,-5,-6,-2,11,17,-1,0,0
1772819824.9957469,-1,1,-4,1,0,-5,3,0,3,0,4,4,2,6,0,-4,-13,-14,-8,-5,-4,0,-3,17,-5,-5,-1,11,17,-2,0,1
1772819824.9977,0,1,-5,2,0,-6,4,-1,3,-1,3,5,3,6,0,-4,-13,-14,-8,-5,-4,0,-3,16,-5,-4,0,11,17,-3,0,1
1772819824.999653,1,1,-5,3,0,-7,3,-1,4,-1,2,5,5,7,0,-4,-13,-14,-8,-5,-4,1,-2,15,-5,-4,1,10,18,-4,-1,2
1772819825.0016062,3,0,-6,4,-1,-6,3,-1,4,-1,0,6,6,7,0,-4,-12,-13,-7,-5,-4,1,-3,14,-6,-4,1,10,18,-5,-1,2
1772819825.0035594,4,0,-6,5,-1,-6,3,-1,5,-1,-1,6,7,7,0,-4,-12,-13,-7,-4,-3,1,-3,12,-7,-4,1,9,19,-5,-2,2
1772819825.0055125,5,-1,-6,5,-2,-5,2,-2,5,-1,-3,7,8,7,-1,-4,-12,-12,-6,-4,-3,1,-2,11,-8,-4,1,9,19,-6,-2,3
1772819825.0074656,5,-1,-7,6,-2,-3,1,-2,5,0,-4,7,9,7,-1,-4,-12,-12,-5,-3,-2,2,-2,10,-9,-4,1,9,19,-6,-3,3
1772819825.0094187,5,-2,-7,6,-3,-2,-1,-2,5,0,-5,7,9,7,-1,-4,-11,-11,-5,-3,-1,2,-2,9,-10,-4,1,9,19,-6,-3,3
1772819825.0113719,5,-2,-8,6,-3,-1,-2,-3,5,0,-6,6,10,6,-2,-4,-11,-11,-4,-2,0,2,-1,9,-11,-4,1,9,19,-5,-3,3
1772819825.013325,4,-2,-9,6,-3,0,-3,-3,5,-1,-7,6,11,5,-2,-4,-11,-10,-3,-1,1,2,-1,10,-11,-4,1,10,18,-4,-3,3
1772819825.015278,2,-3,-11,6,-3,0,-4,-4,4,-1,-8,5,11,4,-3,-4,-10,-9,-2,-1,3,3,0,10,-11,-4,1,10,17,-3,-3,4
1772819825.0172312,1,-3,-13,5,-3,0,-6,-4,4,-2,-9,5,12,4,-3,-4,-9,-8,-1,0,4,3,0,12,-10,-3,1,11,16,-2,-2,4
1772819825.0191844,-1,-2,-14,5,-2,0,-6,-5,4,-2,-9,4,12,3,-4,-4,-9,-8,-1,1,5,3,1,13,-9,-3,2,11,15,-1,-2,4
1772819825.0211375,-3,-2,-16,4,-2,0,-7,-5,4,-3,-10,3,12,1,-4,-4,-8,-7,0,2,6,4,1,14,-8,-3,2,12,13,-1,-1,5
1772819825.0230906,-4,-1,-17,3,-1,-1,-7,-5,3,-4,-10,2,12,0,-4,-3,-7,-6,1,2,6,4,2,15,-8,-3,3,12,12,0,-1,5
1772819825.0250437,-5,-1,-18,2,0,-1,-7,-5,3,-5,-11,0,12,-1,-4,-3,-6,-5,1,3,6,4,2,16,-7,-3,3,13,11,0,0,6
1772819825.0269969,-5,0,-19,1,0,-2,-6,-5,3,-6,-11,-1,12,-3,-5,-3,-6,-5,1,4,6,4,2,16,-7,-3,3,13,11,0,0,7
1772819825.02895,-5,1,-19,1,1,-3,-5,-5,2,-6,-12,-3,11,-4,-5,-3,-5,-4,1,4,6,4,2,17,-7,-3,4,13,11,0,1,7
1772819825.030903,-5,1,-18,0,2,-3,-4,-4,2,-7,-12,-4,10,-6,-5,-3,-5,-4,1,5,6,4,2,17,-7,-2,4,14,11,0,2,7
1772819825.0328562,-3,1,-17,0,3,-4,-3,-4,1,-8,-13,-5,9,-7,-6,-3,-4,-4,1,5,5,3,2,16,-7,-2,5,14,12,0,3,8
1772819825.0348094,-2,0,-15,0,3,-4,-2,-3,1,-8,-13,-7,8,-9,-6,-3,-4,-4,1,5,5,3,2,16,-7,-1,6,15,13,0,4,8
1772819825.0367625,0,-1,-13,0,4,-4,-1,-3,0,-8,-13,-8,7,-11,-7,-3,-4,-4,0,5,4,2,2,15,-8,-1,7,15,14,0,5,8
1772819825.0387156,1,-2,-11,0,4,-3,0,-2,-1,-8,-13,-8,6,-12,-8,-4,-4,-5,0,6,3,1,2,14,-8,0,7,15,15,0,6,7
1772819825.0406687,3,-4,-9,0,4,-3,1,-2,-1,-8,-13,-9,5,-13,-8,-4,-5,-6,-1,6,2,1,2,14,-8,1,8,16,17,1,6,7
1772819825.0426219,3,-6,-7,0,4,-2,2,-2,-2,-8,-13,-9,4,-13,-9,-5,-5,-6,-2,6,2,0,2,14,-7,1,9,16,18,1,7,6
1772819825.044575,4,-7,-6,0,4,-1,2,-1,-2,-8,-12,-9,3,-14,-9,-5,-6,-7,-3,6,1,-1,2,14,-7,1,9,17,19,2,7,6
1772819825.046528,3,-9,-5,0,4,0,2,-1,-2,-7,-11,-8,2,-13,-9,-5,-6,-8,-3,5,0,-1,2,14,-6,1,9,17,19,3,7,5
1772819825.0484812,2,-9,-4,-1,3,0,2,-1,-2,-7,-10,-7,2,-13,-9,-5,-7,-8,-4,5,0,-2,2,14,-6,1,9,17,19,4,6,5
1772819825.0504344,0,-9,-4,-2,2,1,1,-1,-2,-6,-9,-6,2,-11,-8,-5,-7,-9,-4,5,-1,-2,2,15,-5,1,9,17,19,5,6,4
1772819825.0523875,-2,-9,-4,-3,1,2,1,-1,-2,-5,-7,-4,3,-10,-7,-4,-7,-9,-5,4,-1,-2,2,16,-5,0,8,16,18,5,5,4
1772819825.0543406,-4,-7,-4,-4,1,2,0,-1,-2,-5,-6,-3,3,-8,-6,-3,-7,-10,-5,4,-1,-2,2,16,-5,-1,7,16,17,6,4,3
1772819825.0562937,-6,-6,-5,-5,0,2,-1,-2,-1,-4,-5,-1,4,-5,-4,-2,-7,-10,-5,3,-2,-2,1,17,-5,-2,6,16,16,6,3,3
1772819825.0582469,-8,-4,-5,-6,-1,1,-1,-3,-1,-3,-3,0,5,-3,-3,-1,-7,-10,-5,3,-2,-2,1,18,-6,-3,4,16,15,7,2,3
1772819825.0602,-9,-1,-6,-7,-1,0,-2,-3,0,-3,-2,2,6,-1,-1,0,-7,-10,-5,2,-2,-2,1,18,-6,-4,4,16,14,7,2,3
1772819825.062153,-10,0,-7,-8,-1,-2,-3,-4,0,-2,-2,3,7,2,1,1,-7,-11,-5,2,-2,-1,0,18,-7,-5,3,16,14,6,1,3
1772819825.0641062,-10,2,-8,-9,-1,-4,-3,-4,1,-2,-2,4,8,4,3,2,-7,-11,-5,1,-2,-1,0,17,-8,-5,2,17,13,6,1,2
1772819825.0660594,-9,3,-9,-9,-1,-6,-3,-4,1,-2,-2,5,8,6,4,2,-7,-11,-5,0,-3,-1,-1,17,-9,-6,2,17,13,5,1,2
1772819825.0680125,-8,3,-9,-10,-1,-8,-4,-4,2,-1,-2,5,9,7,5,3,-7,-11,-5,-1,-3,-1,-1,16,-9,-6,2,18,14,4,1,2
1772819825.0699656,-6,2,-10,-10,-1,-10,-4,-4,2,-1,-3,5,10,8,6,3,-8,-11,-5,-1,-3,-1,-2,15,-10,-6,3,19,15,3,1,2
1772819825.0719187,-4,1,-11,-10,0,-12,-4,-4,2,-1,-4,5,10,8,6,3,-8,-11,-5,-2,-3,-1,-2,14,-9,-5,3,20,15,3,1,2
1772819825.0738719,-2,0,-11,-9,0,-13,-4,-3,3,-1,-6,5,10,8,6,3,-8,-11,-5,-3,-3,-1,-2,14,-9,-5,4,20,16,3,1,2
1772819825.075825,0,-2,-11,-8,0,-14,-4,-2,3,-2,-7,5,10,8,6,2,-8,-11,-4,-3,-3,-1,-2,13,-8,-4,4,21,17,3,0,2
1772819825.077778,1,-4,-11,-7,0,-15,-4,-1,3,-2,-9,4,10,7,5,1,-8,-10,-4,-4,-2,0,-1,13,-6,-3,4,21,17,3,0,2
1772819825.0797312,2,-6,-11,-6,0,-15,-4,1,4,-2,-11,3,9,5,3,0,-9,-10,-3,-4,-2,0,-1,12,-5,-2,4,21,17,4,0,2
1772819825.0816844,3,-8,-10,-5,0,-14,-4,2,4,-2,-13,2,9,3,2,-1,-9,-9,-2,-4,-1,1,0,13,-4,-1,3,21,17,5,-1,3
1772819825.0836375,3,-9,-9,-4,0,-13,-4,3,4,-2,-15,1,8,1,0,-2,-9,-8,-2,-4,0,2,1,13,-2,-1,3,21,16,7,-1,3
1772819825.0855906,2,-9,-9,-4,-1,-11,-4,3,4,-3,-16,-1,8,-2,-2,-3,-9,-8,-1,-4,1,3,2,13,-1,0,2,21,16,8,-2,4
1772819825.0875437,2,-10,-8,-3,-1,-9,-4,4,4,-3,-18,-2,7,-4,-4,-5,-9,-7,0,-4,2,3,3,14,0,1,2,22,15,9,-2,4
